Purchase Date; Item; Quantity; Purchase Rate; Net Amount; Notes; Verifier; Modifier
24/03/2021 12:45 PM; جالكسي A12 اسود; 4; 570.0000; 2280.0000; ; A; A
22/03/2021 07:49 PM; ايفون 12 برو ماكس 128 ازرق; 5; 4805.0000; 24025.0000; حاسبات 9/3/2021; ; OSAMA
22/03/2021 07:48 PM; ايفون 12 برو ماكس 128 ازرق; 15; 4773.0000; 71595.0000; حاسبات 18/3/2021; ; OSAMA
22/03/2021 07:44 PM; ايفون 12 برو ماكس 256 ازرق; 20; 5175.0000; 103500.0000; حاسبات 22/3/2021; ; OSAMA
17/03/2021 08:57 PM; بطاقات سوا; 5000; 19.5600; 97800.0000; ; ; OSAMA
17/03/2021 08:55 PM; ايفون 12 برو ماكس 256 ازرق; 9; 5200.0000; 46800.0000; حاسبات 9/3/2021; ; OSAMA
17/03/2021 08:54 PM; ايفون 12 برو ماكس 256 اسود; 3; 5200.0000; 15600.0000; حاسبات 9/3/2021; ; OSAMA
16/03/2021 11:22 PM; ايفون 12 برو 128 ازرق; 2; 4585.0000; 9170.0000; روائع 15/3/2021; ; OSAMA
16/03/2021 09:10 PM; ايفون 12 برو 128 ذهبي; 3; 4585.0000; 13755.0000; روائع 15/3/2021; ; OSAMA
16/03/2021 09:05 PM; ايفون 12 برو ماكس 128 ازرق; 2; 4805.0000; 9610.0000; ابتسام; ; OSAMA
16/03/2021 09:04 PM; ايفون 12 برو ماكس 128 ابيض; 1; 4805.0000; 4805.0000; ابتسام; ; OSAMA
16/03/2021 09:04 PM; ايفون 12 برو ماكس 256 اسود; 1; 5200.0000; 5200.0000; ابتسام; ; OSAMA
16/03/2021 09:03 PM; ايفون 12 (128) اسود; 1; 3542.0000; 3542.0000; ابتسام; ; OSAMA
16/03/2021 09:03 PM; ايفون 12 (128) ازرق; 2; 3542.0000; 7084.0000; ابتسام; ; OSAMA
16/03/2021 09:23 PM; ايفون 12 (128) ابيض; 1; 3542.0000; 3542.0000; ابتسام; ; OSAMA
14/03/2021 09:07 PM; ايفون 12 برو ماكس 256 اسود; 2; 5200.0000; 10400.0000; حاسبات 9/3/2021; ; OSAMA
14/03/2021 05:00 PM; ايفون 12 برو ماكس 128 ازرق; 5; 4805.0000; 24025.0000; حاسبات 9/3/2021; ; A
14/03/2021 09:06 PM; ايفون 12 (128) اسود; 1; 3715.0000; 3715.0000; حاسبات 3/2/2021; ; OSAMA
14/03/2021 09:06 PM; ايفون 12 برو ماكس 256 ازرق; 5; 5200.0000; 26000.0000; حاسبات 9/3/2021; ; OSAMA
11/03/2021 10:25 PM; ايفون 12 برو ماكس 128 ازرق; 1; 4805.0000; 4805.0000; حاسبات 9/3/2021; ; OSAMA
10/03/2021 08:32 PM; ايفون 12 برو ماكس 256 ازرق; 1; 5313.0000; 5313.0000; حاسبات 25/2/2021; ; OSAMA
09/03/2021 10:05 PM; بطاقات سوا; 9000; 19.5600; 176040.0000; stc 7/3/2021; ; OSAMA
09/03/2021 02:35 PM; بطاقات سوا; 5000; 19.5600; 97800.0000; stc 7/3/2021; ; OSAMA
08/03/2021 10:07 PM; ايفون 12 برو ماكس 256 ازرق; 1; 5313.0000; 5313.0000; حاسبات 25/2/2021; ; OSAMA
07/03/2021 10:16 PM; بطاقات سوا; 11000; 19.5600; 215160.0000; stc 7/3/2021; ; OSAMA
07/03/2021 09:36 PM; ايفون 12 برو ماكس 128 ازرق; 1; 4900.0000; 4900.0000; حاسبات 25/2/2021; ; OSAMA
07/03/2021 09:35 PM; ايفون 12 (128) اسود; 1; 3542.0000; 3542.0000; حاسبات 25/2/2021; ; OSAMA
25/02/2021 03:07 PM; ايفون 12 (128) ابيض; 1; 3715.0000; 3715.0000; فاتورة حاسبات 03/02/2021; ; A
04/03/2021 08:44 PM; ايفون 12 برو ماكس 128 ازرق; 1; 4900.0000; 4900.0000; حاسبات 25/2/2021; ; OSAMA
04/03/2021 04:26 PM; ايفون 12 برو ماكس 128 ازرق; 1; 4900.0000; 4900.0000; حاسبات 25/2/2021; ; OSAMA
03/03/2021 03:39 PM; ايفون 12 برو ماكس 128 ازرق; 2; 4900.0000; 9800.0000; حاسبات 25/2/2021; ; OSAMA
03/03/2021 03:11 PM; ايفون 12 برو ماكس 128 ابيض; 1; 4900.0000; 4900.0000; روائع 22/2/2021; ; A
02/03/2021 10:16 PM; ايفون 12 (128) ازرق; 1; 3542.0000; 3542.0000; حاسبات 25/2/2021; ; OSAMA
02/03/2021 10:15 PM; ايفون 12 برو ماكس 128 ازرق; 3; 4900.0000; 14700.0000; حاسبات 25/2/2021; ; OSAMA
02/03/2021 01:20 PM; ايفون 12 (128) ازرق; 1; 3542.0000; 3542.0000; حاسبات 25/2/2021; ; OSAMA
01/03/2021 08:59 PM; ايفون 12 برو ماكس 128 ازرق; 1; 4900.0000; 4900.0000; حاسبات 25/2/2021; ; OSAMA
01/03/2021 08:59 PM; ايفون 12 (128) ازرق; 1; 3542.0000; 3542.0000; حاسبات 25/2/2021; ; OSAMA
25/02/2021 04:20 PM; ايفون 12 برو ماكس 128 ازرق; 1; 4900.0000; 4900.0000; حاسبات 25/02/2021; ; A
28/02/2021 09:13 PM; بطاقات سوا; 12000; 19.5600; 234720.0000; ; ; OSAMA
28/02/2021 02:45 PM; ايفون 12 برو ماكس 128 ازرق; 2; 4900.0000; 9800.0000; حاسبات 25/2/2021; ; OSAMA
25/02/2021 02:02 PM; ايفون 12 (128) ازرق; 1; 3542.0000; 3542.0000; حاسبات  25/2/2021; ; OSAMA
25/02/2021 04:12 PM; بطاقات سوا; 2000; 19.5800; 39160.0000; ; ; OSAMA
25/02/2021 10:37 PM; ايفون 12 برو ماكس 256 ازرق; 2; 5320.0000; 10640.0000; روائع 22/2/2021; ; OSAMA
25/02/2021 02:10 PM; ايفون 12 (128) ازرق; 1; 3630.0000; 3630.0000; روائع 22/2/2021; ; OSAMA
